qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Coffee stars,4.8,-57,·,?1200,Cafe,·,"Lankalakoderu, Road, beside Tata Indi Cash ATM Centre",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery
Cafe Aura,5.0,-15,,,Cafe,·,Dr no : 6-183,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery
Relax cafe,4.9,-16,·,?1200,Coffee shop,·,PVMG+8X,Open,· Closes 9 pm,Dine-in,·,Kerbside pickup,,
Drinkupday cafe,4.7,-25,,,Coffee shop,·,"2-7 , THANGELLAGUDEM NORTH, MOGALTUR MANDAL dist Main center",Open,· Closes 9 pm,Dine-in,·,Takeaway,·,Delivery
Café Coffee Day,4.0,"-1,041",·,?200400,Cafe,·,"at Sbi Bank Building, No. 104, Ground Flr, Pattabhi Plaza, Juvvalapalem Rd",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery
KUMBAKONAM DEGREE COFFEE,4.6,-136,·,?1200,Coffee shop,·,"opp. market yard, beside HP petrol bunk",Open,· Closes 9 pm,Dine-in,·,Takeaway,·,No delivery
GT cafe,5.0,-10,·,?1200,Coffee shop,·,"Kunkullamma Temple, Road",Open 24 hours,,Dine-in,,,,
Helly & chilly Cafe,4.7,-30,·,"?4001,400",Cafe,·,opposite AVG multiplex,,,Dine-in,·,Takeaway,·,Delivery
Tea moments Cafe with snacks and general stores,4.8,-46,·,?1200,Coffee shop,·,new highway,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,,
The Enchanted Cafe,4.2,-391,·,?200400,Cafe,·,·,Closed,· Opens 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery
Vennela Tea Cafe,4.4,-135,·,?1200,Cafe,·,PRMM+PM6,Open,· Closes 9:30 pm,Drive-through,,,,
Amma Tea cafe,5.0,-1,,,Coffee shop,·,Palakollu - Razole Rd,Open,· Closes 11 pm,Dine-in,·,Takeaway,,
KUMBAKONAM DEGREE COFFEE,4.0,-30,·,?1200,Cafe,·,"1 30, Mainroad",Open,· Closes 9 pm,Dine-in,·,Takeaway,,
ECO FOOD COURT,4.5,"-1,263",·,?200400,Family-friendly,·,W9HJ+CQ,Open,· Closes 11 pm,Dine-in,·,Takeaway,,
Cool Cafe,4.3,-18,·,?200400,Cafe,·,"Main Road, opp. HAP DAILY, near Poleramma Temple",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery
DOSTANA IRANI CAFE PALAKOLLU,4.3,-10,·,?1200,Cafe,·,"11-3-3, Jetty Tank Rd, beside THE KANAKA MAHALAKSHMI COOPERATIVE BANK",Open,· Closes 10 pm,Dine-in,·,Takeaway,,
HOT CUP,4.2,-10,,,Coffee shop,·,"SHOP NO 6, Mente Vari Thota, Bhimavaram Bypass Rd",,,Dine-in,·,Takeaway,,
Tea Leaf,4.8,-22,,,Coffee shop,,,,,Dine-in,·,Takeaway,·,Delivery
TEA O'CLOCK,4.5,-24,,,Coffee shop,·,Bus Stop,,,Dine-in,·,Takeaway,,
Sri tea time,4.1,-393,·,?1200,Coffee shop,·,3WHC+M2,Open,· Closes 11 pm,Dine-in,·,Takeaway,,
Locals Cafe,4.5,-26,·,?1200,Restaurant,·,opp. GSL Hospital,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery
TEA TIME,4.6,-5,,,Coffee shop,·,GHX3+Q74,Open,· Closes 10 pm,Dine-in,·,Takeaway,,
The Godavari Hub (Alanati Telugu Ruchulu),4.0,-475,·,?1200,Family-friendly,,,Open,· Closes 11:30 pm,"""The",,coffee,,"was fresh and tasty, and the breakfast was filling."""
Chai Buster,4.5,-8,·,?1200,Coffee shop,·,JPCR+927,Open,· Closes 7 pm,Dine-in,,,,
Simhadri Coffee Cafe,4.3,-109,·,?1200,Coffee shop,·,"Sontyam, Checkpost",Open,· Closes 9 pm,Dine-in,·,Drive-through,,
Chai biscuit ?,4.1,-255,·,?1200,Coffee shop,,,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery
GARUDA Food Courts,4.2,"-13,614",·,?200400,Food court,·,·,Open,· Closes 11:45 pm,Dine-in,·,Drive-through,·,No-contact delivery
The Light House Cafe,5.0,-29,,,Cafe,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery
Friends Tea,5.0,-13,,,Cafe,·,"Shop No 01, Nidadavole, Nidadavole - Narasapuram State Hwy",Open,· Closes 8:30 pm,Dine-in,·,Takeaway,,
Billa's Cafe Juice Blends & Thick Shakes,4.0,-25,·,?200400,Restaurant,·,Kadali Road,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,Delivery
Chinnari restaurant,4.1,-20,,,Coffee shop,·,AH45,,,Dine-in,·,Takeaway,,
TeaSpot Hanuman junction Chindadagaruvu,5.0,-2,,,Coffee shop,·,H24C+WFC,Open,· Closes 8:30 pm,Delivery,,,,
Zoop cafe,4.4,-49,·,?1200,Fast Food,·,"Main Rd, beside venkateswara swamy temple",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,Delivery
TEA BAR,4.0,-67,·,?1200,Coffee shop,·,SH 12,Open,· Closes 11 pm,Dine-in,·,Drive-through,,
Silver shades the cafe,4.3,-3,,,Coffee shop,·,WCW5+PJC,Open,· Closes 10 pm,Dine-in,,,,
SRI LAKSHMI NARASIMHA'S THE CAFE & JUICE SPOT,5.0,-4,,,Restaurant,·,"SHOP NO.8, 310 MAIN ROAD, opposite ANAND SWEETS SHOP",,,Dine-in,,,,
Brew buzz,4.3,-319,·,?200400,North Indian,·,AH45,Opens soon,· 10:30 am,"""Clean toilets and friendly people with good",,coffee,,"and more !"""
Tea House,5.0,-8,,,Cafe,·,"mavulamma temple street, behind latitha Jewellery Mavullamma termple",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery
COFFEE DAY BY The coffee BOX,5.0,-5,,,Cafe,·,·,Open,· Closes 9 pm,Dine-in,·,Takeaway,,
Family Coffee House,5.0,-6,,,Coffee shop,·,"2M93+7QV, SH 22",Open,· Closes 8:30 pm,Dine-in,,,,
My cup,4.5,-2,,,Coffee shop,·,"PR3F+PJ3, Asian Highway 45",Open,· Closes 10 pm,Dine-in,,,,
Niha's Tea House,4.8,-6,,,Restaurant,·,"Kopparithi Complex Hy, Doctor Street",Open,· Closes 9 pm,Dine-in,,,,
Chai cafe,4.2,-20,·,?1200,Coffee shop,·,Main road,Open,· Closes 9 pm,Dine-in,·,Drive-through,,
Sharief Cool Drinks,4.2,-57,·,?1200,Cafe,·,beside vinayaka temple near railway gate bhimadole,Open,· Closes 9 pm,Takeaway,,,,
YASHMIKHA COFFEE &TEA POINT,4.8,-4,·,?1200,Coffee shop,·,"9RX3+F69, Rajahmundry - Bhadrachalam Hwy",Open,· Closes 9 pm,Dine-in,,,,
TEA SPACE,5.0,-1,,,Coffee shop,·,FGQC+FM8,,,Dine-in,,,,
7Spices family dhaba restaurant,4.1,-95,·,?200400,Restaurant,·,"road, beside Raghava rice mill, near Checkpost",,,Dine-in,·,Drive-through,·,Delivery
CHAI STREET CAFE,4.6,-19,,,Cafe,·,SABBAVARAM,Open,· Closes 10 pm,Dine-in,·,Drive-through,,
Tea Cups & Mugs,4.1,-16,,,Coffee shop,·,SH 248,Open,· Closes 9:30 pm,Dine-in,·,Drive-through,,
Burre Rama Krishna Coffee Hotel,3.5,-13,·,?,Restaurant,,,Open,· Closes 5 pm,Dine-in,·,Drive-through,,
Coffee... tea tree,4.2,-22,·,?1200,Coffee shop,·,"4JWG+CV6, AH45",Open,· Closes 7 pm,Dine-in,·,Drive-through,,
Tea Time,4.5,-58,·,?1200,Cafe,·,NH 16,Open 24 hours,,Dine-in,·,Takeaway,,
Mythri cool drinks and Tea,5.0,-1,,,Coffee shop,·,"Main Road, opposite balaji theatre",Open,· Closes 11 pm,No takeaway,·,No delivery,,
SRI SARAVANA GRAND FAMILY RESTAURANT/SRI SARAVANA PARTY HUB,4.2,-677,·,?200400,Family-friendly,·,·,Closed,· Opens 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery
Tea cafe,4.1,-16,,,Cafe,·,4G2W+2CP,Open,· Closes 11:30 pm,Drive-through,,,,
MR.CHAI cafe,4.4,-12,·,?1200,Cafe,·,Nh 16,Open 24 hours,,Dine-in,·,Drive-through,,
SHIVASHIVA,4.3,-18,,,Coffee shop,·,"M273+FP4, ANDHRAPRADESH",Open 24 hours,,Drive-through,,,,
Café Coffee Day,4.0,"-1,550",·,?200400,Cafe,·,"MW4J+HV8, Survey No. 403, NH 5 C/O HPCL AutoCare Fuel Station, S-403, NH 16",Open 24 hours,,Dine-in,·,Takeaway,·,No-contact delivery
Bhagya's KKFC,4.3,-72,·,"?11,000",Restaurant,·,Bank St,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery
UP Bihar Family Dhaba,3.8,-199,·,?1200,Dhaba,·,·,Open,· Closes 11 pm,"""",,Coffee,,"excellent"""
Vaarahi Family Restaurant,4.8,-17,·,?200400,Restaurant,·,near AAUK Junior College,Closed,· Opens 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery
T E A GARDEN,4.2,-11,·,?1200,Coffee shop,·,3G2X+JXP,Open 24 hours,,Dine-in,,,,
Tea talks,5.0,-3,,,Coffee shop,·,QVX5+R2,Open 24 hours,,,,,,
MR. CHAI ?,4.6,-14,·,?1200,Coffee shop,·,64MM+63,Open,· Closes 9 pm,Dine-in,·,Takeaway,·,No delivery
TEA BAR & CAFE,4.8,-4,,,Barbecue,·,HXCW+W85,Open,· Closes 10 pm,Dine-in,·,Takeaway,,
Sri ram's Abhiruchi restaurant & Abhiruchi'S mandi delight,4.5,-748,·,"?2001,200",Indian,·,"Badeti complex, opposite ttd kalyana mandapam",Closed,· Opens 11 am,Dine-in,·,Drive-through,·,No-contact delivery
Tea Ocean,4.6,-25,·,?1200,Coffee shop,·,RWP8+7PV,Open,· Closes 9 pm,Dine-in,·,Takeaway,·,Delivery
CHAI DUNIYA,5.0,-4,,,Coffee shop,·,"JPFJ+HPH, Alamuru Main Rd",,,Dine-in,,,,
MAMATHA CAFE,3.3,-6,,,Cafe,·,"QVPP+R9F, Ravulapalem - Mandapeta Rd",Open,· Closes 10 pm,Dine-in,,,,
Narasimha Pootharekulu,4.2,-26,,,Cafe,·,"MJ95+426, Attili - Narasapuram - Marteru Rd",Open,· Closes 9:30 pm,Takeaway,,,,
REFRESH JUICE CAFE,4.8,-6,,,Restaurant,·,"SHOP NO.6-2/2, SRI RAMA COMPLEX, MAIN ROAD",,,Dine-in,·,Takeaway,,
Hotel Vijetha,5.0,-52,·,?1200,Tiffin center,·,"Shop No 01, Bus Stand, beside Atthili - Tanuku Road",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery
?????? ?????????,4.3,-19,·,"?2001,000",Restaurant,·,MJ56+RF9,Open,· Closes 8 pm,Dine-in,·,Takeaway,·,Delivery
Cafe inn,4.0,-7,,,Cafe,·,Main road,,,Dine-in,·,Drive-through,,
Mr chai,4.7,-6,,,Coffee shop,·,VXG8+FGF,Open 24 hours,,Dine-in,,,,
Coffee House,3.4,-29,·,?1200,Cafe,·,Bus Stop,,,Dine-in,·,Takeaway,,
ROLEX TEA TIFFINS & BIRYANI CENTRE,4.6,-17,,,Indian,·,"W4X7+HF2, Kamavarapukota - Lingapalem Rd",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery
NANI JUICE CLUB,4.1,-7,,,Coffee shop,·,"26JC+8XX, Jangareddygudem Rd",,,Drive-through,,,,
Chai N Joy,4.6,-9,,,Cafe,·,QM68+286,Open,· Closes 11 pm,Dine-in,·,Drive-through,,
Sri Varahi Annapoorna Family Restaurant (Veg & NonVeg),5.0,-15,,,Family-friendly,·,MJP2+JHV,Closed,· Opens 11 am,Dine-in,,,,
ON TEA,4.9,-7,,,Coffee store,·,near railway gate,Open,· Closes 11 pm,Takeaway,,,,
Zoop Cafe,1.0,-1,,,Cafe,,,,,Dine-in,,,,
TEA.COM,3.8,-5,,,Coffee shop,·,HV4J+58X,Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,,
Tea house,3.5,-6,,,Coffee shop,·,3XQP+VGM,,,Dine-in,·,Takeaway,,
Suprabath Restaurant,4.0,"-5,086",·,?200600,Biryani,·,"Undi Rd, beside Kishore Petrol Bunk",Closed,· Opens 11 am,Dine-in,·,Drive-through,·,No-contact delivery
Reddy Gari Tiffin Center,4.0,-56,,,Breakfast,·,"JJVX+RJF, Attili - Narasapuram - Marteru Rd",Open,· Closes 11 pm,Dine-in,·,Drive-through,,
????.????????? [????????...],4.0,-1,,,Coffee shop,·,SH 24,Open 24 hours,,Dine-in,·,No-contact delivery,,
Friendly juice bar,5.0,-4,,,Ice Cream,·,"JJ5R+78C, Veeravasaram - BrahmanaCheruvu Rd",Open,· Closes 11 pm,Delivery,,,,
ZaZu World of Kitchens,4.1,-868,·,"?4001,400",Continental restaurant,·,·,Closed,· Opens 12:30 pm,Dine-in,·,Takeaway,·,No-contact delivery
"Tea time,Kasimkota",4.7,-6,,,Coffee shop,·,"MXC9+MR3 Tea time n tiffins, NH-5 road, near Durgadevi temple",Open 24 hours,,Dine-in,,,,
Sri abhiruchi A/C restaurant,4.3,-11,·,?200400,Family-friendly,·,JMR2+QXV,,,Dine-in,·,Takeaway,,
Tea cafe,4.0,-7,,,Coffee shop,·,"JWR3+W9J, NH 16",Open 24 hours,,Dine-in,·,Takeaway,,
Tea Leaf,3.5,-2,,,Cafe,,,,,,,,,
Tea Dot Com,4.5,-17,,,Coffee store,·,Main road,Open,· Closes 10 pm,"""It's all you need when you're feeling low.""",,,,
Café ice magic,4.8,"-7,636",·,?200400,Pizza,·,·,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery
"Madhurams Restaurant, Attili.",4.5,-35,·,?1200,Family-friendly,·,"MJP2+PXW, Attili Main Rd",,,Dine-in,,,,
Tea Tite,4.5,-32,·,?1200,Coffee shop,·,"RWR6+3VX, Chodavaram Rd",,,Dine-in,·,Takeaway,,
Lakshmi Gouri Sankar Family Restaurant,3.6,"-2,177",·,?1200,Restaurant,·,·,Open,· Closes 1 am,Dine-in,·,Drive-through,·,No-contact delivery
Tea Taste,4.0,-2,,,Coffee shop,·,"2RPH+48P, Auto Nagar Rd",,,,,,,
Sri Devi dhaba restaurant,4.0,-88,·,?1600,Dhaba,·,"RH3P+MWF, Chennai - Kolkata Hwy",,,Dine-in,·,Drive-through,·,Delivery
AMMA CURRY POINT,4.5,-2,,,Family-friendly,·,MJP3+JWJ,,,,,,,
LRFC,4.4,-7,,,Family-friendly,·,"JJ4R+XCM, Gollalakoderu - Nowduru Rd",Open,· Closes 11 pm,Dine-in,·,Takeaway,,
F2 food &fun,4.2,-256,·,?200400,Fast Food,·,"Ground Floor, opp :venkateswara swamy temple,gokulam complex",Opens soon,· 10:30 am,Dine-in,·,Drive-through,·,No-contact delivery
Chai Lovers,5.0,-5,,,Cafe,·,"Main Road, near Laxmi virashan function hall",Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery
Subhiaha Hotel,4.4,-25,,,Restaurant,·,"MJQ5+5W7, Atthili - Tanuku Rd",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,,
King's Dhaba,4.2,-10,·,?400600,Dhaba,·,MJF3+VGF,Closed,· Opens 12 pm,Dine-in,·,Takeaway,,
.,4.3,-16,·,?1800,Coffee shop,·,"PWJ4+W9J, SH 28",,,Dine-in,·,Takeaway,·,Delivery
Sai Surya tiffins and meals hotel,4.0,-56,,,Tiffin center,·,Attili Main Rd,,,Dine-in,·,Drive-through,·,No delivery
Josh Tea Time,4.6,-7,,,Cafe,·,Gokavaram - China Ramanyyapeta Rd,Open,· Closes 11 pm,Drive-through,,,,
DP Family Restaurant A/C,3.8,-92,·,?200400,Restaurant,·,,Closed,· Opens 11 am,Dine-in,·,Drive-through,·,No-contact delivery
Tea Time,5.0,-1,,,Coffee shop,·,QXWJ+HH4,,,Dine-in,,,,
Varahi cafe,3.4,-5,,,Coffee shop,·,6457+53J,Open,· Closes 7:30 pm,Dine-in,,,,
Manna Biryani,5.0,-2,,,Korean beef restaurant,·,Jagan anna colony,Closed,· Opens 5 pm Wed,Dine-in,·,Drive-through,·,No-contact delivery
FRIENDS CAFE,5.0,-2,,,Coffee shop,·,"64FF+8GX, opposite to St Mary's school",Open 24 hours,,Dine-in,,,,
The salt and pepper,5.0,-3,,,Fast Food,·,"Attili Main Rd, beside Tea cups and mugs",Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery
Hotlines Falcons Nest Hotel(Vindhu Restaurant),4.0,"-2,327",,,3-star hotel,·,"172/5, Undi Rd, behind Coastal City Center",,,"""The food is delicious, especially if you know the menu well.""",,,,
Bathaya Jucie Center,4.3,-3,,,Cafe,·,"MP5W+3GV Park Trun, Pekeru - Penugonda Rd",,,,,,,
Reddy,4.7,-13,·,?400600,Fast Food,·,"Shop No 6, Main Road",Open,· Closes 10 pm,Dine-in,·,Drive-through,,
SRI THANVIKA FAMILY RESTAURANT,5.0,-3,,,Fast Food,·,"SHOP NO.3, 17 MAIN ROAD",,,Dine-in,,,,
Hap Daily,4.6,-35,,,Milk delivery service,·,"Attili Main Rd, near Poleramma Temple",Open,· Closes 10:30 pm,Delivery,,,,
