card-heading,slick-prev,slick-next,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,price,text-muted,slick-dots 5,slick-dots 6,slick-dots 7,card-body,readMoreSmall,clickable,moreTextHidden,hotel-featured-data
1. Woodland Hotel,Previous,Next,2.0,3.0,4.0,5.0,200 m from Vizianagaram Station,# 1  hotel in  Vizianagaram,8.6,(91Â reviews),"â‚¹2,664",onwards,,,,,,,,
2. Hotel VR Grand,Previous,Next,2.0,3.0,4.0,5.0,1.2 kms from Vizianagaram Station,# 2  hotel in  Vizianagaram,8.5,(104Â reviews),"â‚¹2,961",onwards,,,,,,,,
3. Sunray Village Resort,Previous,Next,2.0,3.0,4.0,5.0,16.6 kms from city centre,# 3  hotel in  Vizianagaram,8.5,(59Â reviews),"â‚¹6,666",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Bar, Beach, Pool, Garden, Children's Playground, Food, Shuttle Service",,,,
4. Super Capital O Seatree,,,,,,,42.5 kms from city centre,# 4  hotel in  Vizianagaram,7.6,(67Â reviews),"â‚¹4,940",onwards,,,,,Capital O 45731 Hotel Seatree features modern and cozy rooms. The property offers a On-site restuara,(Read More),"nt , and a bicycle rental. The property is a short drive from the AU Engg college Playground, P & T Lotus Park, New P&T colony Park, and Walkers park. The beautiful  Ramakrishna Beach and Jodugulla Palem Beach are also a short drive from the property.  This location is perfect for a weekend getaway.",Hotel with 3 room options
5. Capital O Mvp Check Inn,Previous,Next,2.0,3.0,4.0,5.0,41.3 kms from city centre,# 5  hotel in  Vizianagaram,7.6,(36Â reviews),"â‚¹5,293",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Bar, Food",,,,Hotel with only 1 room option
6. Capital O Vrisha Inn,Previous,Next,2.0,3.0,,,34.9 kms from city centre,# 6  hotel in  Vizianagaram,7.3,(30Â reviews),"â‚¹3,835",onwards,,,,,Capital O 82169 Vrisha Inn in Visakhapatnam offers comfy accommodations to discerning guests. Nearby,(Read More),"Vmrda Kailasagiri is 9 km away, while Vmrda Ins Kursura Submarine Museum is 12 km away from the hotel. This is a stunning hotel with a tonne of services for guests. The hotel offers both room service and an on-site restaurant. The hotel is located 2 kilometres from Rushikonda Beach and 7 kilometres from Tenneti Park.",Hotel with 2 room options
7. Super Hotel O Rushikonda,Previous,Next,2.0,3.0,4.0,5.0,34.9 kms from city centre,# 7  hotel in  Vizianagaram,6.9,(48Â reviews),"â‚¹2,360",onwards,6.0,7.0,8.0,,Make your trip to Vizianagaram more comfortable with your stay at OYO 64666 Sai Nivas. The property,(Read More),"provides well-furnished and comfortable rooms with elegant and lavish decor. Guests can relax in the shared lounge after a hectic day. Try the palatable meals provided by the in-house restaurant. Don't miss out on the variety of drinks offered at the bar. No matter what your reasons are for visiting the city, OYO 64666 Sai Nivas will make you feel at home.",Hotel with only 1 room option
8. Super Hotel O Adarsh Nagar Near Kavya Hospital,Previous,Next,2.0,3.0,4.0,5.0,38.8 kms from city centre,# 8  hotel in  Vizianagaram,7.4,(14Â reviews),"â‚¹2,286",onwards,6.0,7.0,8.0,"Facilities:
     Wifi",,,,
9. Hotel O Sindhura Guest House,Previous,Next,2.0,3.0,4.0,,42.0 kms from city centre,# 9  hotel in  Vizianagaram,2.5,(19Â reviews),"â‚¹1,680",onwards,,,,,The basic and cosy Sindhura Guest House in Visakhapatnam has rooms with plenty of space close to See,(Read More),"thammadhara. The traditional furnishings in each area of the house help visitors feel at home while they are there. The well-known Port Trust Diamond Jubilee Stadium is not far from the accommodation. Additionally, the hotel is conveniently in close proximity to banks, shops, a post office, various food joints and restaurants.",Hotel with only 1 room option
10. HOTEL SVN LAKE PALACE,Previous,Next,2.0,3.0,4.0,5.0,600 m from Vizianagaram Station,# 10  hotel in  Vizianagaram,7.4,(11Â reviews),"â‚¹3,209",onwards,6.0,,,,,,,
11. Vistaram @ 402,Previous,Next,2.0,3.0,4.0,5.0,1.9 kms from Vizianagaram Station,# 11  hotel in  Vizianagaram,6.5,(8Â reviews),"â‚¹1,150",onwards,,,,,,,,
12. Townhouse 1439 The B&W Motel,Previous,Next,2.0,3.0,4.0,5.0,40.9 kms from city centre,# 12  hotel in  Vizianagaram,6.5,(4Â reviews),"â‚¹3,642",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Food",,,,
13. S Conventions and TSR Grand,Previous,Next,2.0,3.0,4.0,5.0,400 m from Vizianagaram Station,# 13  hotel in  Vizianagaram,9.2,(2Â reviews),"â‚¹2,024",onwards,,,,,,,,
14. Hotel O Sri Sairam Residency,Previous,Next,2.0,3.0,4.0,5.0,42.1 kms from city centre,# 14  hotel in  Vizianagaram,,(3Â reviews),"â‚¹3,011",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Bar, Food",,,,Hotel with only 1 room option
15. Midas Touch Casa,Previous,Next,2.0,3.0,4.0,5.0,11.4 kms from city centre,# 15  hotel in  Vizianagaram,,,,,6.0,7.0,8.0,"Facilities:
     Wifi, Pool",,Enter dates  to see price,,Villa with only 1 room option
16. Hangout Hills Resorts,Previous,Next,2.0,3.0,4.0,5.0,6.3 kms from Srungavarapukota Station,# 16  hotel in  Vizianagaram,,,"â‚¹2,228",onwards,6.0,7.0,8.0,"Facilities:
     Pool, Garden",,,,Resort with 5 room options
17. The Hive,Previous,Next,2.0,3.0,4.0,5.0,34.1 kms from city centre,# 17  hotel in  Vizianagaram,,,"â‚¹3,800",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Beach, Pool, Concierge Service, Food, Shuttle Service",,,,4 star hotel with 3 room options
18. Sky Mountain Guest House,Previous,Next,2.0,3.0,4.0,5.0,39.3 kms from city centre,# 18  hotel in  Vizianagaram,,,"â‚¹2,400",onwards,6.0,7.0,8.0,"Facilities:
     Wifi",,,,Homestay with only 1 room option
19. Hotel Mayura,Previous,Next,2.0,3.0,4.0,5.0,400 m from Vizianagaram Station,# 19  hotel in  Vizianagaram,,,,,6.0,,,,,Enter dates  to see price,,
20. Anupriya Residency,Previous,Next,2.0,3.0,4.0,5.0,1.7 kms from Vizianagaram Station,# 20  hotel in  Vizianagaram,,,,,6.0,,,,,Enter dates  to see price,,
