card-heading,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,clickable,hotel-featured-data,price,text-muted,card-body
1. MURALI KRISHNA APART HOTEL,200 m from Kakinada Town Station,# 1  hotel in  Kakinada,9.5,(42 reviews),(Read More),Hotel with 3 room options,"₹2,600",onwards,
2. De Crown Luxury Hotel,1.4 kms from Kakinada Town Station,# 2  hotel in  Kakinada,8.8,(100 reviews),(Read More),Hotel with 2 room options,"₹2,712",onwards,
3. Super OYO Ramaraopet near Kakinada Beach,2.9 kms from Kakinada Town Station,# 3  hotel in  Kakinada,8.7,(127 reviews),,,₹926,onwards,
4. Grand Kakinada by GRT Hotels,1.5 kms from Kakinada Town Station,# 4  hotel in  Kakinada,8.5,(112 reviews),(Read More),Hotel with 4 room options,"₹6,750",onwards,
5. Paradigm Sarovar Portico Kakinada,1.3 kms from Kakinada Town Station,# 5  hotel in  Kakinada,8.4,(152 reviews),,,"₹4,395",onwards,
6. Capital O De Alphabet Kakinada,1.5 kms from Kakinada Town Station,# 6  hotel in  Kakinada,7.9,(124 reviews),,,"₹2,906",onwards,
7. Paradigm Sarovar Portico,1.4 kms from Kakinada Town Station,# 7  hotel in  Kakinada,7.9,(53 reviews),,Hotel with 11 room options,"₹4,159",onwards,"Facilities:
     Bar, Wifi, Spa, Garden, Food"
8. Super Hotel O Ashok Nagar Near JNTU College,1.7 kms from Kakinada Town Station,# 8  hotel in  Kakinada,7.6,(40 reviews),(Read More),,"₹2,175",onwards,
9. Super OYO Coastal Inn near JNTU College,1.7 kms from Kakinada Town Station,# 9  hotel in  Kakinada,8.3,(147 reviews),,,"₹1,051",onwards,
10. Capital O De Alphabet Kakinada,1.5 kms from Kakinada Town Station,# 10  hotel in  Kakinada,7.4,(194 reviews),,Hotel with only 1 room option,"₹6,145",onwards,"Facilities:
     Wifi, Bar, Concierge Service, Children's Playground, Food, Shuttle Service"
11. De Crown Luxury Hotel Kakinada,1.5 kms from Kakinada Town Station,# 11  hotel in  Kakinada,7.4,(161 reviews),,,"₹2,216",onwards,
12. Super OYO Hotel O Coastal Inn,3.3 kms from Kakinada Town Station,# 12  hotel in  Kakinada,7.4,(45 reviews),(Read More),Hotel with only 1 room option,"₹2,686",onwards,
13. S V N Grand,1.4 kms from Kakinada Town Station,# 13  hotel in  Kakinada,7.4,(43 reviews),,,"₹2,816",onwards,
"14. The Fern Residency, Kakinada",2.3 kms from Kakinada Town Station,# 14  hotel in  Kakinada,7.3,(132 reviews),,,"₹3,671",onwards,
15. Svenska Design Hotel Kakinada,4.2 kms from Kakinada Town Station,# 15  hotel in  Kakinada,7.1,(251 reviews),,,"₹6,707",onwards,
16. Royal Park Kakinada,1.6 kms from Kakinada Town Station,# 16  hotel in  Kakinada,7.0,(97 reviews),,Hotel with 5 room options,"₹4,500",onwards,"Facilities:
     Bar, Wifi, Spa, Concierge Service, Food, Shuttle Service"
17. Svenska Design Hotel Kakinada,4.1 kms from Kakinada Town Station,# 17  hotel in  Kakinada,7.0,(55 reviews),,5 star hotel with 4 room options,"₹9,640",onwards,"Facilities:
     Bar, Wifi, Spa, Beach, Pool, Garden, Concierge Service, Food, Shuttle Service"
18. Hotel O Sea Coastal Inn,3.3 kms from Kakinada Town Station,# 18  hotel in  Kakinada,7.8,(25 reviews),(Read More),,"₹2,921",onwards,
19. Decent residency,600 m from Kakinada Town Station,# 19  hotel in  Kakinada,6.6,(108 reviews),,Hotel with 4 room options,₹855,onwards,"Facilities:
     Wifi, Bar, Pets Allowed, Food"
20. Hotel O Sea Coastal,3.3 kms from Kakinada Town Station,# 20  hotel in  Kakinada,6.9,(22 reviews),(Read More),4 star hotel with 2 room options,"₹2,686",onwards,
21. FabHotel Prime Venky Residency,1.1 kms from Kakinada Town Station,# 21  hotel in  Kakinada,7.2,(21 reviews),,,"₹2,678",onwards,
22. Treebo Sea Heights,2.0 kms from Kakinada Town Station,# 22  hotel in  Kakinada,7.6,(16 reviews),,Hotel with 2 room options,"₹2,464",onwards,"Facilities:
     Wifi, Food"
23. SPOT ON Sri Devi Residency,4.0 kms from Kakinada Town Station,# 23  hotel in  Kakinada,7.9,(15 reviews),(Read More),Hotel with 3 room options,"₹3,442",onwards,
24. Hotel O Coastal Inn Luxury Service Apartments,2.6 kms from Kakinada Town Station,# 24  hotel in  Kakinada,7.4,(14 reviews),(Read More),Hotel with only 1 room option,"₹2,686",onwards,
25. Hotel IRAA,1.8 kms from Kakinada Town Station,# 25  hotel in  Kakinada,8.3,(13 reviews),,Hotel with 3 room options,"₹7,056",onwards,"Facilities:
     Wifi, Bar, Food"
26. Hotel Jaya Residency,1.4 kms from Kakinada Town Station,# 26  hotel in  Kakinada,7.1,(13 reviews),Enter dates  to see price,,,,
27. Zibe Luxe Kakinada by GRT Hotels,1.1 kms from Kakinada Town Station,# 27  hotel in  Kakinada,8.8,(11 reviews),,Hotel with 3 room options,"₹3,700",onwards,"Facilities:
     Wifi, Pets Allowed, Food, Shuttle Service"
28. Karthikeya Grand,4.0 kms from Kakinada Town Station,# 28  hotel in  Kakinada,5.1,(10 reviews),,Hotel with 3 room options,₹990,onwards,"Facilities:
     Bar, Wifi, Garden, Shuttle Service"
29. SEA COASTAL INN-3,3.4 kms from Kakinada Town Station,# 29  hotel in  Kakinada,6.0,(6 reviews),,,"₹2,522",onwards,"Facilities:
     Wifi, Bar, Food"
30. Pakas House,3.5 kms from Kakinada Town Station,# 30  hotel in  Kakinada,7.4,(5 reviews),,Homestay with 2 room options,"₹1,599",onwards,"Facilities:
     Wifi, Pets Allowed, Garden, Shuttle Service"
31. RL GRAND,1.5 kms from Kakinada Town Station,# 31  hotel in  Kakinada,5.2,(5 reviews),,,"₹1,704",onwards,
32. Hotel Gokulam Grand,8.9 kms from Samalkot Junction Station,# 32  hotel in  Kakinada,9.5,(4 reviews),,,"₹3,321",onwards,
"33. Hotel City Inn, Kakinada, Andhra Pradesh",100 m from Kakinada Town Station,# 33  hotel in  Kakinada,5.5,(2 reviews),,Homestay with 3 room options,"₹6,228",onwards,"Facilities:
     Wifi, Food"
34. OYO Flagship 805641 The Central Guest House,900 m from Kakinada Town Station,# 34  hotel in  Kakinada,3.7,(2 reviews),,,"₹1,754",onwards,
35. Palette - Hilife Towers,2.1 kms from Kakinada Town Station,# 35  hotel in  Kakinada,1.5,(2 reviews),,,"₹4,494",onwards,"Facilities:
     Bar, Wifi, Pool, Children's Playground, Food"
36. The Mak Inn Hotel - Affordable Luxury Stay,1.1 kms from Kakinada Town Station,# 36  hotel in  Kakinada,2.8,(1 reviews),,,"₹1,227",onwards,
37. Sea breeze villa,2.7 kms from Kakinada Town Station,# 37  hotel in  Kakinada,,,,Homestay with only 1 room option,"₹1,750",onwards,"Facilities:
     Pets Allowed"
38. Cocannada sea breeze villa,2.3 kms from Kakinada Town Station,# 38  hotel in  Kakinada,,,,Homestay with only 1 room option,"₹1,912",onwards,
39. Pent house,1.7 kms from Kakinada Town Station,# 39  hotel in  Kakinada,,,,Guest house with only 1 room option,"₹1,600",onwards,"Facilities:
     Wifi, Pets Allowed, Garden"
40. HOTEL O SREE GRAND,6.1 kms from Kakinada Town Station,# 40  hotel in  Kakinada,,,,Hotel with only 1 room option,"₹1,760",onwards,"Facilities:
     Wifi, Bar, Food"
41. Kautilya Grand,2.0 kms from Kakinada Town Station,# 41  hotel in  Kakinada,,,,Homestay with only 1 room option,"₹2,000",onwards,"Facilities:
     Wifi, Pets Allowed"
42. Spacious 3BHK Near Beach with Secure Parking,5.2 kms from Kakinada Town Station,# 42  hotel in  Kakinada,,,Enter dates  to see price,Villa with only 1 room option,,,"Facilities:
     Wifi, Pets Allowed"
43. Kautilya Grand,2.0 kms from Kakinada Town Station,# 43  hotel in  Kakinada,,,,Apartment with only 1 room option,"₹2,200",onwards,"Facilities:
     Wifi, Pets Allowed"
44. Hotel Vijaya Sri,900 m from Kakinada Town Station,# 44  hotel in  Kakinada,,,Enter dates  to see price,,,,
45. Hotel Srivatsa,1.0 kms from Kakinada Town Station,# 45  hotel in  Kakinada,,,Enter dates  to see price,,,,
46. OYO 40718 Hotel Arka,900 m from Kakinada Town Station,# 46  hotel in  Kakinada,,,Enter dates  to see price,,,,
47. OYO 40770 Sai Priya Residency,400 m from Kakinada Town Station,# 47  hotel in  Kakinada,,,Enter dates  to see price,,,,
48. Hotel Atithi Inn,600 m from Kakinada Town Station,# 48  hotel in  Kakinada,,,Enter dates  to see price,,,,
49. GK RESIDENCY,600 m from Kakinada Town Station,# 49  hotel in  Kakinada,,,Enter dates  to see price,,,,
50. Flagship Balaji Grand,2.4 kms from Kakinada Town Station,# 50  hotel in  Kakinada,,,Enter dates  to see price,,,,
