qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 6,W4Efsd 7,ah5Ghc
,,,,,,,,
Prakasam Park,4.3,"-10,292",Park,·,·,Open,· Closes 9 pm,On-site services
YSR Nirmal Nagar Park,3.9,-783,Park,·,·,Open,· Closes 8 pm,"""Maintaining full greenary and dust and garbage free inside the park."""
Mallavaram Dam- Gundlakamma River,4.3,"-1,998",Park,·,·,Open,· Closes 6 pm,"""Perfect place for peaceful evenings, couple photoshoots, or family picnics."""
Sri Buchepalli Kamalakar Reddy Park,4.3,-126,Park,·,·,Closed,· Opens 5 pm,"""Neatly maintained."""
NTR PARK,4.0,-44,Park,·,"M36X+P42, Chandaluru - Ongole Rd",Open,· Closes 10 pm,
BUNGA BHAVI PARK,3.7,-34,Park,·,62X9+GC3,Closes soon,· 10 am · Reopens 4 pm,
I love Kandukur Park,4.1,-182,Park,·,6W92+CQM,Open,· Closes 8 pm,"""Peaceful surroundings lush greenery and calming ambiance"""
Gandhi Park,3.8,-588,Memorial park,·,,Open,· Closes 8 pm,"""Good park at main circle"""
SAKETH CHILDRENS PARK,4.6,-32,Park,·,X68X+4GQ,,,"""Safe draving"""
Puli Venkata Reddy Park,3.7,-214,Park,·,·,,,"""Good park with excellent seenary"""
Municipal Park,4.4,"-1,467",Park,·,·,Open now,,On-site services
Chirala Municipal Park,4.1,-517,Park,·,·,Closed,· Opens 4 pm,"""It is a highly recommended location for families."""
Pragada Kotaiah Children Park,3.6,-101,Park,·,"V93R+8JC, NH 216",Open,· Closes 6 pm,"""All things were good in this school"""
YSR PARK,3.8,-138,Park,·,9WFR+JW5,Open,· Closes 9 pm,
ILTD Colony Park,4.0,-169,Park,·,·,Open,· Closes 9 pm,"""Simply superb"""
Uppugunduru Park,4.0,-57,Park,·,"2-124, National Highway 216",,,
Dam Park,4.3,-15,Park,·,MX6Q+46V,,,
SV GARDENS,4.1,-16,Park,·,JJ6C+27G,Open 24 hours,,"""Very Nice Garden, Especially Pool, I Enjoyed a lot."""
Koppolu Park,4.0,-4,Park,·,F3PJ+CHH,Open now,,
VETAPALEM PARK,3.8,-57,Park,·,"Q8F4+P3G, NH 216",Open,· Closes 5 pm,"""Vetapalem Park childrens soo enjoying place.All sports items available."""
Prakasam Round Park,4.1,"-1,073",Park,·,"2Q4Q+P2J, Manasa Hospital Rd",Closed,· Opens 5 pm,"""Nice park for children and fitness and for refreshment"""
Bhairavakona Waterfalls,4.4,"-4,428",Tourist attraction,·,36P3+XCJ,Open,· Closes 6 pm,"""Beautiful surroundings,  perfect water both in showers and in the pool."""
#V Waters park,4.3,-28,Theme park,·,·,Closed,· Opens 11 am,"""They allow outsiders too."""
శ్రీ దుగ్గిరాల గోపాల క్రిష్ణయ్య పార్కు చీరాల,3.7,-42,Park,·,R9H4+9Q5,Open 24 hours,,"""Well-maintained facilities, plenty of shade, and friendly atmosphere."""
Tangutur Walking Track,4.2,-70,Park,·,"82QQ+RG8, Tanguturu Cheruvu",Open 24 hours,,"""Good for walking and running
For kids there is a playground"""
DV park,3.3,-52,Park,·,3CV8+RGQ,Open now,,
Park And Running Track,4.1,-124,Park,·,"WF7J+VVF, GBC Rd",Open 24 hours,,"""Its newly updated park
Its use for childrens below 10 years"""
ABR collage park view,4.3,-12,Park,·,9GQW+M8,Open now,,"""Good college"""
"Nagara vanam, Chirala",4.1,-39,Park,·,"R96V+XG3, Between Vakavaripalem and Santosh HP Petrol Pump on, Vadarevu Rd",,,"""There is a small play area with equipment installed for children."""
Mukkonam Park (Ambedkar Statue),3.7,-19,Park,·,R9H3+XGR,Open 24 hours,,
Children Park,4.3,-37,Park,·,"R9H2+4P8, fire office road",,,"""New things added"""
public park,3.9,-94,Park,·,"VFR6+QVC, painter colony",,,"""Casual place"""
Vivekananda Colony Municipal park,3.9,-118,Park,·,"VFWG+7GJ, Unnamed Road",Closed,· Opens 4 pm,"""Nice place for a peaceful morning walk"""
Mahila park,,,Park,·,8HX6+94Q,Closes soon,· 10 am · Reopens 4 pm,
Mukonnam Park,4.3,-3,Park,·,R9H3+WJX,Open 24 hours,,
Atal Bihari Vajpayee Statu,5.0,-1,Park,·,VCQP+99,,,
VISWASRI Gardens-1,5.0,-7,Park,·,GHWH+G2,Open 24 hours,,"""Nice place to investment good developments"""
K B Children's Park,4.5,-2,Park,·,R9F7+639,,,"""Lawn with seating is available!"""
NR&PM Municipal Park,5.0,-4,Park,·,R8GX+JW2,Closed,· Opens 4 pm,
Park centre,4.1,-17,Park,·,"1-5-218, Bapatla Sub Rail Road",Open,· Closes 9 pm,"""Best quality
With reasonable price
And on time"""
K B Children's Park,4.5,-2,Park,·,R9F7+639,,,"""Lawn with seating is available!"""
NR&PM Municipal Park,5.0,-4,Park,·,R8GX+JW2,Closed,· Opens 4 pm,
Park centre,4.1,-17,Park,·,"1-5-218, Bapatla Sub Rail Road",Open,· Closes 9 pm,"""Best quality
With reasonable price
And on time"""
Desaipeta Park,3.9,-106,Park,·,Q8V8+FMM,,,
Tulasi gardens,4.1,-64,Garden,·,·,Open,· Closes 9 pm,"""They are maintaining very neat."""
Kothapatnam Beach,4.3,-456,Public beach,·,·,Open now,,On-site services
Gavandlapallem beach,4.2,-66,Tourist attraction,·,,Closed,· Opens 10:30 am Sat,"""Nice beech but some dengerous be safe don't go single"""
Chandrakala Park,4.1,-13,Park,·,WF59+7VJ,Open now,,
DARPAN ESTATES,4.7,-7,Garden,·,C5WP+G6R,,,"""Make Sunday ,funday by visiting darpan estate's 🏄🏂🏊🌊"""
Mahatma Gandhi village park,4.0,-1,Park,·,R94W+RJR,Open now,,
SRI GAYATRI VANAMU 6,4.0,-4,Park,·,9G2G+MG,Open now,,
Gandhi Nagar park,3.6,-63,Park,,,,,
Bapatla Nagaravanam బాపట్ల నగర వనం,5.0,-13,Park,·,VF7V+5GV,,,"""AP Forest Department park"""
Baystar Green Resorts & Nature Interpretation Centre,4.1,-148,Campground,,,,,"""The amenities like the pool and garden area were well managed."""
Near Children Park,3.8,-15,Park,·,"WF3C+6W9, Unnamed Road",,,"""Park nice and clean
Eco friendly"""
Kanigiri Fort,4.3,-200,Tourist attraction,·,CG63+MFH,Open 24 hours,,"""Few lodge's are near in the city."""
Matangi vijayaraju statue,4.6,-14,Park,·,WFFP+XV6,,,"""He is the legend"""
Check dam,,,Water park,·,XF6F+J3X,,,
Park,,,Park,·,P63Q+8W3,Open now,,
Attuluri Siva Prasad Land,5.0,-1,Garden,·,RX4P+WM,,,
Gaddala Prakasam (samadhi)Garden,5.0,-2,Garden,·,4XPG+49C,,,
Sri Lakshmi Rushi Garden,4.2,-10,Garden,·,"P6RX+CGG, Sri Lakshmi Rushi Garden",,,
Srikanth Reddy Kota Farm Land,3.0,-2,Garden,·,JJF8+95G,,,
"Parvatham Eco Forestry, Bhattupalli",4.0,-4,Garden,·,8H9C+C5,,,
Bhushaiah's Agri Fields,5.0,-2,Garden,·,W88C+HW,,,
