card-heading,rating-badge,light,objective,objective 2,readMoreSmall
1. Bhavani Island,4.1,/5,9 km from city center,Island,"The largest island in the Krishna River, the Bhavani island is a favorite of all its visitors and home to numerous activities, to give you an ideal holiday experience."
2. Kanaka Durga Temple,4.1,/5,3 km from city center,Temple,"The Kanaka Durga Temple is a famous shrine dedicated to the Goddess Durga. Located in Vijayawada district of Andhra Pradesh, this astounding architecture is built in Dravidian fashion. The temple is surrounded by the hills of Inrakeeladri, right along the banks of the Krishna River. The temple finds mention in many sacred texts and Vedic literature as well and is a revered temple among devotees an"
3. Undavalli Caves,4.2,/5,7 km from city center,Cave,"Elaborate caves, form the 7th century, the Undavalli Caves are 4-stories high and hold a majestic and sprawling statue of Lord Shiva, carved out of a single piece of granite."
4. Kondapalli Fort,3.4,/5,18 km from city center,Forts & Palaces,"A fort with roots in parallel histories, this one is said to have been built as a center of recreation, business and trade. The main entrance gate, carved out of a single boulder of granite is called the Dargah Darwaja."
5. Mogalarajapuram Caves,3.1,/5,11 km from city center,Cave,"These are ancient caves, dating back to 5th century and one of the most significant landmarks of the heritage of Vijayawada. Though a lot has been lost to ruins, the caves still hold religious and spiritual value as they house idols of Lord Nataraja and Lord Vinayaka amongst many more, a few cave temples and a shrine for Goddess Durga."
6. Subramanya Swamy Temple,3.6,/5,4 km from city center,Temple,"Dedicated to the Lord of serpents Kartikeya, the Subramanya Swamy Temple is a shrine located in Vijayawada (Andhra Pradesh), set on the foot of the Indrakiladari Hills. The temple worships all three forms of Lord Subramanya- Sri Dandayudhapani Swamy as a boy, Sri Valli Devayanai- his original form and lastly in the form of a serpent. It is carved out of sparkling white stone with intricate stonewo"
7. Victoria Museum,3.1,/5,2 km from city center,Museum,"A museum of the Archaeology Department, this is a walk through imprints of time and all it left behind. Browse through a rich and ancient collection of sculptures, idols, inscriptions, paintings, cutlery and weapons."
8. Besant Road,3.1,/5,2 km from city center,Shopping,"The busiest trade centers of the city, bustling with activity and trade, Besant Road is a dynamic place in Vijayawada. The road has grown into a pivot of commercial hustle in recent times."
9. Amaravathi,3.1,/5,32 km from city center,Buddhist Temple,"About an hour away from Vijayawada is one of the most significant and sacred pilgrim center for Buddhists, in the country. Take a day trip to Amaravathi to witness the Largest Stupa of the country, built by Acharya Nagarjuna, 2000 years ago."
10. Hinkar Thirtha,3.1,/5,20 km from city center,Temple,"One of the most renowned Jain temples, this structure houses the only Jain Shrine in the area. Adorned with the Jain style of architecture, this is also one of the most beautiful structures in town."
11. Gandhi Hill,3.1,/5,4 km from city center,Hills & Valleys,"The Gandhi Stupa, as it is better known, is a very famous tourist spot in Vijayawada that has been attracting hordes of tourists mainly due to a planetarium and the Light and Sound show depicting the life and teachings of Mahatma Gandhi."
12. Prakasam Barrage,,,5 km from city center,Bridge,"Standing on a whopping 160 pillars and offering an astounding view of the holy River Krishna, the Prakasam Barrage does a lot more than just looking majestic. This bridge connects the Kolkata-Chennai highway and facilitates the irrigation of over 1.2 acres of farm land. The entire bridge is lit up with soft yellow lights and is an amazing sight to witness."
13. Rajahmundry,3.1,/5,134 km from city center,Temple,"At a distance of 150 km from Vijayawada, Rajahmundry holds many ritual places of visit including Draksharama, Kotipalli, Samalkot, Pattiseema the famous Siva temples."
14. Mangalgiri,,,12 km from city center,Town,"Being one of the 8 Mahakshetrams or sacred destinations of the country, Mangalagiri is a charming town in Vjayawada that has a lot of religious history. They say that Lord Vishnu manifested himself in the soil of Mangalagiri and that Lakshmi Devi has performed penance on its hilltop. The town's religious significance and natural beauty draw thousands of tourists every year."
"15. Amravati Museum, Vijayawada",,,32 km from city center,Museum,"Displaying a wide range of exhibits that date back to as far as the 3rd century, the Archaeological Museum in Amravati is an absolute haven for the history buff in each one of us. This museum houses mysterious relics and exotic artefacts found during excavations and flawlessly sculpted statues of Lord Buddha, Goddess Tara and Bodhisattva Padmapani."
16. Sri Ramalingeswara Swami vari Devasthanam,,,10 km from city center,Temple,"Resting atop a small hillock in the southeast corner of Vijayawada is the Sri Ramalingeswara Swami vari Devasthanam. Decked in a canopy of tall dense trees, this holy temple is dedicated to Lord Shiva and is decorated like a bride, come Mahashivratri. You will also be treated to a breathtaking view of the colourful city and the River Krishna from here."
17. Lenin Statue,,,3 km from city center,Monument,"An enormous statue of Vladimir Ilyich Ulyanov, better known as Lenin, towers in the middle of Vijayawada city as an instance of communism and its ideologies. Built in the 1980s when the town was under communist rule, this statue holds tremendous historical significance. You can find many stray book sellers here selling popular and interesting books at a third of the cost."
18. Hazrat Bal Mosque,,,0 km from city center,Mosque,"The dazzlingly white Hazratbal Mosque in Vijayawada city is a sight for sore eyes. This mosque experiences a footfall of thousands of people, irrespective of caste and creed, to take one glance at Prophet Mohammad's relic that is put up on display once a year. They say having seen this relic will rid you of all the stubborn problems of life."
19. Akkanna Madanna Caves,,,4 km from city center,Cave,"These ancient rock-cut caves of Akkanna Madanna can be traced back to the 7th Century. Located in the Krishna and Guntur regions of Andhra Pradesh, these caves are the treasured possessions of the Vijayawada kingdom. These caves are dedicated to the Hindu trinity of Brahma, Vishnu and Maheshwara and contain significant inscriptions from the past."
20. VMC Disney Land,,,4 km from city center,Amusement & Theme Park,"Situated in Ajit Singh Nagar in Vijayawada, VMC Disney Land is one of the most popular and largest water parks in the city. With separate swimming pools for adults and kids, professionals and beginners and a variety of water activities and fun games, thrilling rides, aqua dancing and wave pools etc., the water park is the favourite hangout place for the city dwellers."
21. Gunadala Matha Shrine,,,1 km from city center,Church & Cathedral,"Tucked into the hills of the Krishna District, the Gundala Matha Shrine, or the St Mary's Church, provides hope and solace to many. You will find an iron cross erected here along with Mother Mary's idol and a museum that houses many holy relics. A huge crowd of devotees and tourists are gathered here during the festive celebration of Our Lady of the Lourdes."
22. Haailand,,,,Amusement & Theme Park,Haailand is situated around 19 km from Vijayawada on the outskirts of the city. It is considered to be the most deliciously designed and themed water cum amusement park in the region. It offers a plethora of fun games and activities. You can either choose a water park package or an amusement park package or both.
23. ISKCON Vijayawada,,,6 km from city center,Temple,"Settled by the banks of River Krishna, the striking three-storeyed building of ISKCON in Vijayawada houses two mesmerizingly stunning marble idols of Lord Krishna and Radha standing side by side. The faint vibrations of ¥om' playing in the background will relax your nerves as soon as you enter the temple. Mahaprasad facility is also available here."
24. Rajiv Gandhi Park,,,4 km from city center,Garden & Park,"Set on the banks of River Krishna, the Rajiv Gandhi Park has it all- a small enclosure with exotic animals, a dinosaur park with life size replicas of ancient creatures and a mesmerising musical fountain. Relaxing amidst the dense verdure of this park and listening to the melodious chirping of the birds will instantly refresh you after a long monotonous week."
